block_date,total_transactions,mined,unmined
2024-02-27,6385,5877,508
2024-02-28,6768,6040,728
2024-02-29,7349,6347,1002
2024-03-01,7750,7021,729
2024-03-02,7461,6870,591
2024-03-03,7948,7358,590
2024-03-04,8905,8099,806
2024-03-05,8193,7416,777
2024-03-06,7825,7052,773
2024-03-07,8957,8229,728
2024-03-08,8870,7996,874
2024-03-09,8639,8034,605
2024-03-10,8783,7958,825
2024-03-11,8491,7718,773
2024-03-12,8430,7596,834
2024-03-13,8485,7671,814
2024-03-14,9003,7758,1245
2024-03-15,9320,8002,1318
2024-03-16,10141,9196,945
2024-03-17,9183,8369,814
2024-03-18,8581,7769,812
2024-03-19,8278,6653,1625
2024-03-20,10303,8955,1348
2024-03-21,9241,8286,955
2024-03-22,8796,7838,958
2024-03-23,8007,7291,716
