block_date,total_transactions,mined,unmined
2024-01-29,146019,120427,25592
2024-01-30,202681,147479,55202
2024-01-31,210743,149952,60791
2024-02-01,151643,134651,16992
2024-02-02,156497,142174,14323
2024-02-03,155168,140132,15036
2024-02-04,132243,118832,13411
2024-02-05,137426,119578,17848
2024-02-06,145749,132504,13245
2024-02-07,142022,130377,11645
2024-02-08,142160,129379,12781
2024-02-09,153985,134462,19523
2024-02-10,145893,129574,16319
2024-02-11,140220,126167,14053
2024-02-12,142719,128303,14416
2024-02-13,155092,139824,15268
2024-02-14,162206,147585,14621
2024-02-15,170071,147065,23006
2024-02-16,172545,152927,19618
2024-02-17,160651,142640,18011
2024-02-18,165054,149226,15828
2024-02-19,165460,150074,15386
2024-02-20,151219,136664,14555
2024-02-21,149066,134532,14534
2024-02-22,151826,135507,16319
2024-02-23,148422,134691,13731
2024-02-24,170004,140592,29412
2024-02-25,155640,141136,14504
2024-02-26,141060,129619,11441
2024-02-27,156794,143496,13298
2024-02-28,159911,141589,18322
2024-02-29,167838,149151,18687
2024-03-01,171686,154637,17049
2024-03-02,188643,170490,18153
2024-03-03,183999,167783,16216
2024-03-04,197135,178044,19091
2024-03-05,182468,158231,24237
2024-03-06,201094,179248,21846
2024-03-07,202171,182512,19659
2024-03-08,220924,198590,22334
2024-03-09,200853,183508,17345
2024-03-10,212801,193439,19362
2024-03-11,206276,188014,18262
2024-03-12,201072,178829,22243
2024-03-13,205642,183083,22559
2024-03-14,206646,177629,29017
2024-03-15,212421,181529,30892
2024-03-16,205711,178953,26758
2024-03-17,192414,172519,19895
2024-03-18,190403,170189,20214
2024-03-19,185649,159037,26612
2024-03-20,181574,156890,24684
2024-03-21,185945,163823,22122
2024-03-22,192276,168957,23319
2024-03-23,168841,149353,19488
